y_pred,y
-2.82,-3.03
-11.39,-9.45
-0.53,-0.4
-5.61,-1.45
-3.53,-4.61
-9.28,-7.17
-6.17,-4.63
0.41,1.09
0.69,0.56
-7.6,-7.98
-0.01,-1.17
-0.66,-0.53
-0.49,-0.59
-6.82,-6.96
-7.35,-9.3
-1.24,-1.23
-2.72,-3.61
-10.62,-10.0
-11.61,-10.03
-4.21,-4.1
-2.15,-2.49
-0.73,-0.16
2.81,2.11
-1.45,-2.49
-5.13,-4.43
-6.66,-3.92
-0.86,-0.85
1.39,0.67
-7.33,-10.22
-10.58,-8.84
-4.48,-3.88
-6.92,-5.04
-2.3,-1.46
-7.45,-9.2
-4.27,-5.1
-1.15,-1.28
-5.06,-3.13
2.21,-0.22
-4.35,-2.45
-4.29,-3.43
-7.14,-5.48
-6.29,-5.94
-5.49,-4.13
-6.04,-5.49
1.8,0.5
-8.68,-9.86
-8.47,-9.4
-4.57,-2.93
3.12,2.88
-4.91,-2.53
-8.42,-6.2
-5.62,-4.09
1.45,1.66
1.03,1.28
-3.03,-2.64
-8.1,-6.72
-2.83,-1.69
-5.35,-6.34
-9.64,-9.61
-3.56,-2.23
-2.53,-3.13
-4.76,-5.66
-4.86,-4.72
-1.6,-1.01
-7.84,-6.88
-1.52,-1.36
-7.5,-13.43
-12.17,-12.64
1.36,1.83
-9.15,-4.78
-3.8,-4.38
-1.9,-1.74
-6.74,-7.77
-3.47,-3.18
-5.1,-5.53
-6.89,-7.07
-9.65,-9.94
-8.42,-7.1
1.49,0.06
-3.42,-2.4
-11.34,-4.58
-4.3,-1.29
-2.72,-0.8
-6.93,-5.11
-8.42,-8.42
-17.42,-15.83
-5.87,-4.29
-3.53,-2.64
-2.27,-1.39
-4.56,-4.09
-3.72,-3.28
