y_pred,y
-2.17,-3.03
-8.86,-9.45
-2.02,-0.4
-5.04,-1.45
-2.27,-4.61
-4.13,-7.17
-3.38,-4.63
0.49,1.09
-0.94,0.56
-16.32,-7.98
-1.7,-1.17
-2.02,-0.53
-1.3,-0.59
-6.88,-6.96
-3.81,-9.3
-1.35,-1.23
-3.5,-3.61
-4.03,-10.0
-12.91,-10.03
-3.84,-4.1
-1.27,-2.49
-0.03,-0.16
-0.92,2.11
-1.72,-2.49
-1.33,-4.43
-5.41,-3.92
-1.62,-0.85
-0.25,0.67
-9.18,-10.22
-9.15,-8.84
-2.32,-3.88
-7.67,-5.04
-3.13,-1.46
-7.45,-9.2
-2.59,-5.1
-0.09,-1.28
-3.1,-3.13
-0.12,-0.22
-13.18,-2.45
-2.22,-3.43
-2.5,-5.48
-5.88,-5.94
-3.46,-4.13
-3.27,-5.49
-1.0,0.5
-6.96,-9.86
-9.96,-9.4
-3.03,-2.93
0.53,2.88
-2.98,-2.53
-5.14,-6.2
-3.51,-4.09
-0.61,1.66
-1.02,1.28
-1.11,-2.64
-4.91,-6.72
-3.92,-1.69
-6.36,-6.34
-7.67,-9.61
-2.78,-2.23
-5.56,-3.13
-13.99,-5.66
-2.87,-4.72
-2.4,-1.01
-10.1,-6.88
-2.25,-1.36
-8.23,-13.43
-10.66,-12.64
-1.31,1.83
-3.89,-4.78
-3.18,-4.38
-3.12,-1.74
-4.54,-7.77
-2.17,-3.18
-3.96,-5.53
-8.47,-7.07
-9.05,-9.94
-5.91,-7.1
0.11,0.06
-3.77,-2.4
-9.41,-4.58
-5.58,-1.29
-3.34,-0.8
-2.5,-5.11
-8.54,-8.42
-8.28,-15.83
-13.37,-4.29
-3.53,-2.64
-2.67,-1.39
-1.95,-4.09
-3.39,-3.28
