y_pred,y
-3.0,-3.03
-5.58,-9.45
0.79,-0.4
-4.52,-1.45
-4.41,-4.61
-5.06,-7.17
-4.97,-4.63
0.67,1.09
-1.65,0.56
-5.61,-7.98
0.25,-1.17
-1.71,-0.53
0.84,-0.59
-5.37,-6.96
-0.92,-9.3
-0.24,-1.23
-4.48,-3.61
-5.16,-10.0
-5.75,-10.03
-4.83,-4.1
-2.73,-2.49
0.1,-0.16
0.79,2.11
0.61,-2.49
-1.56,-4.43
-5.56,-3.92
-4.4,-0.85
-1.97,0.67
-4.98,-10.22
-5.65,-8.84
-4.44,-3.88
-5.39,-5.04
-2.78,-1.46
-5.69,-9.2
-2.32,-5.1
-0.85,-1.28
-4.96,-3.13
-0.11,-0.22
-5.3,-2.45
-3.53,-3.43
-4.43,-5.48
-5.59,-5.94
-5.33,-4.13
-4.69,-5.49
-0.07,0.5
-5.42,-9.86
-5.68,-9.4
-1.16,-2.93
0.73,2.88
-5.05,-2.53
-5.39,-6.2
-4.66,-4.09
1.13,1.66
0.98,1.28
-3.33,-2.64
-5.61,-6.72
-5.12,-1.69
-5.03,-6.34
-5.7,-9.61
-4.57,-2.23
-4.91,-3.13
-5.56,-5.66
-4.56,-4.72
-2.82,-1.01
-5.64,-6.88
-2.25,-1.36
-5.21,-13.43
-5.57,-12.64
1.1,1.83
-4.58,-4.78
-4.57,-4.38
-1.58,-1.74
-5.35,-7.77
-2.86,-3.18
-4.9,-5.53
-5.71,-7.07
-5.48,-9.94
-5.44,-7.1
-1.04,0.06
-1.87,-2.4
-5.47,-4.58
-3.85,-1.29
-1.42,-0.8
-4.41,-5.11
-5.7,-8.42
-5.41,-15.83
-5.42,-4.29
-4.84,-2.64
-1.95,-1.39
-3.89,-4.09
-2.98,-3.28
