smiles,pKa
Fc1ccc(S)cc1,6.35
Sc1cccc(Cl)c1,5.76
Sc1ccc(Cl)cc1,5.82
Sc1ccc(Br)cc1,5.8
SCc1ccccc1,9.43
Cc1ccc(S)cc1,6.47
O=C1OCC(O)=C1O,4.4
CC1CCC(=O)C1=O,9.6
CC1=C(O)C(O)=CC1,9.11
O=C1CCCCC1=O,10.3
Oc1ccccc1O,9.33
O=C(O)C1CCCC1,4.99
O=C1CCCC(=O)C1,5.26
Oc1cccc(O)c1,9.56
Oc1ccc(O)cc1,9.93
O=CC1CCCC1=O,5.83
[O-]c1ccccc1O,11.56
[O-]c1cccc(O)c1,11.32
[O-]c1ccc(O)cc1,11.57
O=C(O)C1CC1(Cl)Cl,3.51
O=C(O)C1CC1(Br)Br,3.57
O=C1CCC(Cl)C1=O,7.05
O=C(O)c1ccsc1,4.03
O=C(O)c1cccs1,3.46
O=C(O)c1ccc[se]1,3.43
O=P1(O)CCCCC1,2.73
O=C1CSCC(=O)C1,4.34
O=c1cccccc1,-0.82
OC1C=CC=CC=C1,-7.0
Cc1cccc(O)c1,10.01
Cc1ccc(O)cc1,10.22
Cc1ccccc1O,10.22
CC(=O)C1=CC=CC1,8.84
Oc1ccccc1Cl,8.4
Oc1ccccc1F,8.81
Oc1ccccc1I,8.4
Oc1ccccc1Br,8.4
Oc1cccc(Cl)c1,8.96
Oc1cccc(I)c1,9.02
Oc1cccc(Br)c1,8.99
Oc1ccc(Cl)cc1,9.29
Oc1ccc(F)cc1,9.88
Oc1ccc(I)cc1,9.32
Oc1ccc(Br)cc1,9.29
O=C1CCC(=O)C1=O,8.48
O=C1CCC(O)=C1O,4.8
O=C1CC(=O)C(=O)C1,3.0
O=C(O)c1ccco1,3.18
O=C(O)c1ccco1,-0.53
O=C(O)C1(O)CCC1,3.88
O=C(O)c1ccoc1,-0.59
O=C(O)c1ccoc1,3.94
CO[C@H]1C[C@H]1C(=O)O,4.76
CO[C@H]1C[C@@H]1C(=O)O,4.47
O=C1CCC([O-])=C1O,12.9
O=C1COC(=O)C1Cl,2.13
O=C1COC(=O)C1I,2.31
O=C1COC(=O)C1Br,2.23
Cc1nnc(C)n1N,9.85
CCCc1nnn[nH]1,5.61
CC(C)c1nnn[nH]1,5.55
Nc1ccnc(N)n1,7.26
Nc1cncnc1N,9.33
Nc1cncnc1N,6.03
Cc1nnc(S)n1N,7.97
CSc1nc(N)n[nH]1,3.27
Nc1ccccc1N,4.43
N[C@@H]1CCCC[C@@H]1N,9.84
N[C@H]1CCCC[C@@H]1N,9.75
Nc1cccc(N)c1,5.04
Cn1ccc(=N)cc1,12.5
Cc1nccnc1C,2.24
Cc1cnc(C)cn1,1.95
C[C@H]1CN[C@@H](C)CN1,9.98
C[C@@H]1CN[C@@H](C)CN1,9.76
CN[C@H]1C[C@]1(C)NC,9.05
Cc1cnncc1C,4.13
Cc1ccnnc1C,4.1
Cc1n[nH]c(C)c1C,4.82
Cc1ccc(C)nn1,3.99
CCc1cccnn1,3.58
Cc1cnn(C)c1C,3.58
Cc1cc(C)n(C)n1,3.96
CN1CC=CCN1C,5.7
CN1CCCCN1C,6.66
Cc1cnnc(C)c1,4.11
Cc1cn(C)nc1C,3.56
N#Cc1cccnc1,1.48
CNc1cccnc1,6.41
CN[C@H]1C(C)[C@@H]1NC,9.03
CN[C@@H]1[C@@H](C)[C@@H]1NC,9.13
Cc1cc(C)ncn1,2.7
N#Cc1ccccn1,-0.26
CNc1ccccn1,7.13
CC1=NCCCCN1,12.7
Cc1cccc(N)n1,7.4
CCc1nc(C)c[nH]1,8.5
Cc1ccc(N)nc1,7.22
Cc1cccnc1N,7.24
Cc1ccnc(N)c1,7.48
CCCc1ncc[nH]1,8.02
CCn1ccnc1C,8.09
N#Cc1ccncc1,1.91
Nc1ccc(N)cc1,6.16
Cc1cnccc1N,9.15
NCc1ccncc1,8.3
NCc1ccccn1,3.5
NCc1ccccn1,8.47
Cc1cncc(C)n1,2.11
C[C@@H]1CNC[C@H](C)N1,9.86
NCc1cccnc1,8.33
Cc1cc(N)ccn1,9.44
Nc1ccccc1[NH3+],1.3
N[C@H]1CCCC[C@@H]1[NH3+],6.71
N[C@@H]1CCCC[C@@H]1[NH3+],6.35
C[n+]1ccccc1N,12.2
Nc1cccc([NH3+])c1,2.46
Cc1ncc[nH+]c1C,-4.17
Cc1c[nH+]c(C)cn1,-4.42
C[C@H]1C[NH2+][C@@H](C)CN1,5.23
C[C@@H]1C[NH2+][C@@H](C)CN1,5.29
CN[C@H]1C[C@]1(C)[NH2+]C,5.52
CNc1ccc[nH+]c1,-2.17
CN[C@H]1C(C)[C@@H]1[NH2+]C,5.68
CN[C@@H]1[C@@H](C)[C@@H]1[NH2+]C,3.68
Nc1ccc([NH3+])cc1,2.86
Cc1cncc(C)[nH+]1,-4.48
C[C@@H]1CNC[C@H](C)[NH2+]1,5.4
[NH3+]Cc1ccncc1,4.05
[NH3+]Cc1ccccn1,3.1
[NH3+]Cc1cccnc1,3.71
[S-]c1ccnc([S-])n1,11.19
[S-]c1ccnc([S-])[nH+]1,6.46
Cc1n[nH]c(C)c1Cl,2.23
Nc1ccncc1F,4.77
Nc1ccncc1Br,7.15
Nc1ccc(Cl)cn1,4.83
Cn1ccnc1CS,8.88
Cn1ccnc1CS,6.31
Cc1cc([S-])[nH+]cn1,1.8
Cc1ccnc([S-])[nH+]1,2.2
Cc1cc([S-])ncn1,7.3
Cc1ccnc([S-])n1,8.0
O=C(O)c1cc[nH]n1,3.84
N[C@H]1CC(=O)NC1=O,9.0
CN1CC(=O)NC1=O,11.4
[O-]c1ccc([O-])nn1,13.0
[O-]c1ccc(O)n[nH+]1,5.73
[O-]c1cc(O)nc[nH+]1,5.4
O=[N+]([O-])c1ccc[nH]1,10.6
[O-]c1[nH+]cncc1O,1.99
Oc1ccc(O)[nH+]n1,-2.2
[NH3+][C@H]1CC(=O)NC1=O,5.9
[O-]c1ncncc1O,11.61
[O-]c1ncncc1O,7.48
CC(=O)c1cc[nH]n1,11.85
Nc1ncccc1O,9.5
CC(=O)n1cccn1,3.16
NC(=O)[C@@H]1CCCN1,8.82
CC(=O)n1ccnc1,3.6
O=CN1CCNCC1,7.98
COc1ccnnc1,3.7
COc1cnccn1,0.75
COc1cccnn1,2.52
COc1ccncn1,2.5
Cc1cc([O-])[nH+]cn1,2.15
Cc1cc[nH+]c([O-])n1,3.15
C[n+]1cccnc1[O-],2.5
C[n+]1cnccc1[O-],1.84
Nc1cc[n+]([O-])cc1,3.61
C[n+]1cc(O)ccn1,1.74
N[n+]1ccccc1O,2.1
Cc1cc([O-])ncn1,9.0
C[n+]1ccncc1O,-0.04
C[n+]1ccc(O)nc1,1.91
Cc1ccnc([O-])n1,9.8
Nc1cccc[n+]1O,2.67
CCc1nsc(O)n1,6.89
COc1cnc(N)s1,4.98
[O-]c1ccnc([S-])n1,12.7
Oc1ccnc([Se-])[nH+]1,7.18
