y_pred,y
-2.816836099446451,-3.0299999713897705
-9.151667699275617,-9.449999809265137
-0.5490247611065411,-0.4000000059604645
-3.173815766044408,-1.4500000476837158
-4.992786853328095,-4.610000133514404
-8.116069995434227,-7.170000076293945
-5.337155308681217,-4.630000114440918
0.4273201366796616,1.090000033378601
-1.009280958960228,0.5600000023841858
-5.584020865776264,-7.980000019073486
-0.6872416970710833,-1.1699999570846558
-0.5921846504226809,-0.5299999713897705
-0.7330639822317773,-0.5899999737739563
-5.971368304478601,-6.960000038146973
-5.467499537796848,-9.300000190734863
-0.782615371818528,-1.2300000190734863
-2.67222891635883,-3.609999895095825
-9.153543409940571,-10.0
-10.09761190396932,-10.029999732971191
-4.42872406939332,-4.099999904632568
-1.9353573328045817,-2.490000009536743
-0.36535341970023927,-0.1599999964237213
0.6581438164737455,2.109999895095825
-1.7925162521895106,-2.490000009536743
-4.998935427650817,-4.429999828338623
-5.485072200844421,-3.9200000762939453
-0.8532698468369196,-0.8500000238418579
0.6051580379813937,0.6700000166893005
-6.6312976571344215,-10.220000267028809
-8.860199077380283,-8.84000015258789
-4.223444668230442,-3.880000114440918
-7.430039364317331,-5.039999961853027
-1.8220693715283613,-1.4600000381469727
-7.6885839014258455,-9.199999809265137
-4.367575810178677,-5.099999904632568
-0.8758610218323434,-1.2799999713897705
-5.07065515309661,-3.130000114440918
0.37211852486105934,-0.2199999988079071
-3.6963988978172204,-2.450000047683716
-3.489923979573973,-3.430000066757202
-5.681327224507789,-5.480000019073486
-5.435499618215668,-5.940000057220459
-4.5085289090089145,-4.130000114440918
-6.515777951807239,-5.489999771118164
1.7275684461659797,0.5
-7.137127230075384,-9.859999656677246
-8.51310931613332,-9.399999618530273
-4.466196492389933,-2.930000066757202
2.253646662723601,2.880000114440918
-3.349252110768185,-2.5299999713897705
-6.6703987913613165,-6.199999809265137
-5.508103180870334,-4.090000152587891
1.1050655696281397,1.659999966621399
0.24179166881666414,1.2799999713897705
-2.4035175640410755,-2.640000104904175
-7.144277847904176,-6.71999979019165
-2.068651575931814,-1.690000057220459
-5.249245406016196,-6.340000152587891
-10.641033125783178,-9.609999656677246
-3.0840202736328037,-2.2300000190734863
-2.698244606070936,-3.130000114440918
-4.969957706033791,-5.659999847412109
-4.82722539110769,-4.71999979019165
-1.994249796299965,-1.0099999904632568
-8.260047255048798,-6.880000114440918
-1.1059856217245503,-1.3600000143051147
-9.733854994094537,-13.430000305175781
-12.941971438202128,-12.640000343322754
0.6333371143122031,1.8300000429153442
-7.111086706706448,-4.78000020980835
-3.4259135255247886,-4.380000114440918
-1.9883637425348721,-1.7400000095367432
-5.298518116327929,-7.769999980926514
-3.001124256009381,-3.180000066757202
-4.50691922131112,-5.53000020980835
-6.050334271635763,-7.070000171661377
-8.931092536015093,-9.9399995803833
-7.896082836492064,-7.099999904632568
0.8053300741605365,0.05999999865889549
-2.7350328430884803,-2.4000000953674316
