y_pred,y
-3.234042018794627,-3.0299999713897705
-10.089624529272035,-9.449999809265137
-0.5000011601986428,-0.4000000059604645
-3.3917165172767896,-1.4500000476837158
-5.874970820195778,-4.610000133514404
-9.382543329832329,-7.170000076293945
-6.109721604584967,-4.630000114440918
0.35205004593528016,1.090000033378601
-1.2067928309378795,0.5600000023841858
-5.000689137985011,-7.980000019073486
-0.7705790219188896,-1.1699999570846558
-0.550140987279661,-0.5299999713897705
-0.8440615070548185,-0.5899999737739563
-6.466523860930649,-6.960000038146973
-6.229202479561681,-9.300000190734863
-0.9591578876575108,-1.2300000190734863
-2.962857011441618,-3.609999895095825
-10.651397144182116,-10.0
-10.804092059419728,-10.029999732971191
-4.991160963525444,-4.099999904632568
-2.271169521007704,-2.490000009536743
-0.5186200845795119,-0.1599999964237213
0.7559571723368309,2.109999895095825
-2.011698924152599,-2.490000009536743
-5.980441439474267,-4.429999828338623
-6.048006044170583,-3.9200000762939453
-0.9235324140192678,-0.8500000238418579
0.660070727360768,0.6700000166893005
-6.979140214207054,-10.220000267028809
-9.719667267239299,-8.84000015258789
-4.9368962647326375,-3.880000114440918
-8.207085580286746,-5.039999961853027
-1.9433353480177304,-1.4600000381469727
-8.495216196152082,-9.199999809265137
-5.065324111403893,-5.099999904632568
-1.142364854330814,-1.2799999713897705
-5.818113599446521,-3.130000114440918
0.38683501150257454,-0.2199999988079071
-3.0264955063256527,-2.450000047683716
-4.042602716737429,-3.430000066757202
-6.655696545646787,-5.480000019073486
-5.955015451647026,-5.940000057220459
-5.12512896726917,-4.130000114440918
-7.62250767760535,-5.489999771118164
2.1331204764181235,0.5
-7.907296736266414,-9.859999656677246
-9.21842501861415,-9.399999618530273
-5.0737340779313085,-2.930000066757202
2.5693251614710797,2.880000114440918
-3.8050215918497003,-2.5299999713897705
-7.532606310615205,-6.199999809265137
-6.335184511346137,-4.090000152587891
1.3091672511307364,1.659999966621399
0.2995286269738729,1.2799999713897705
-2.849097041900405,-2.640000104904175
-8.087311306715792,-6.71999979019165
-2.176170441789031,-1.690000057220459
-5.650484314982403,-6.340000152587891
-12.012206193518443,-9.609999656677246
-3.4654521907652787,-2.2300000190734863
-2.7342786034845568,-3.130000114440918
-4.440415151134576,-5.659999847412109
-5.560998174868745,-4.71999979019165
-2.233445738618292,-1.0099999904632568
-8.866148564102716,-6.880000114440918
-1.1770446417703004,-1.3600000143051147
-10.931225052716314,-13.430000305175781
-14.442562013887201,-12.640000343322754
0.7836085283588455,1.8300000429153442
-8.17052417885463,-4.78000020980835
-3.915849220253722,-4.380000114440918
-2.09903963100583,-1.7400000095367432
-5.94725782998189,-7.769999980926514
-3.454433991480335,-3.180000066757202
-5.065539971342931,-5.53000020980835
-6.465738594611151,-7.070000171661377
-9.810724800618386,-9.9399995803833
-8.906946976902299,-7.099999904632568
0.90769124490376,0.05999999865889549
-2.937632552669856,-2.4000000953674316
