y_pred,y
-2.8977467858320214,-3.0299999713897705
-9.408573219405481,-9.449999809265137
-0.5589680300177039,-0.4000000059604645
-3.258137754944855,-1.4500000476837158
-5.142282951617408,-4.610000133514404
-8.355966514503889,-7.170000076293945
-5.492296744875982,-4.630000114440918
0.4386856132013117,1.090000033378601
-1.037946202510474,0.5600000023841858
-5.706886444222157,-7.980000019073486
-0.7044658395083895,-1.1699999570846558
-0.6034246170065646,-0.5299999713897705
-0.7522406478134488,-0.5899999737739563
-6.134758724515855,-6.960000038146973
-5.625651688856731,-9.300000190734863
-0.8049934547071749,-1.2300000190734863
-2.7458605811767347,-3.609999895095825
-9.426418330953226,-10.0
-10.372004678360577,-10.029999732971191
-4.554774914021906,-4.099999904632568
-1.991519562732057,-2.490000009536743
-0.3763756273935396,-0.1599999964237213
0.6803045784224244,2.109999895095825
-1.8417272973119894,-2.490000009536743
-5.151412378177461,-4.429999828338623
-5.6380161323842355,-3.9200000762939453
-0.8743467993484377,-0.8500000238418579
0.6247506104855891,0.6700000166893005
-6.807290980870365,-10.220000267028809
-9.10745616425361,-8.84000015258789
-4.348567319309855,-3.880000114440918
-7.6385958178806135,-5.039999961853027
-1.8692524684915497,-1.4600000381469727
-7.9045265602785975,-9.199999809265137
-4.495918549755556,-5.099999904632568
-0.9030932830786634,-1.2799999713897705
-5.2183014615766625,-3.130000114440918
0.3846383167419708,-0.2199999988079071
-3.7687717984596194,-2.450000047683716
-3.591809407853272,-3.430000066757202
-5.850964804082386,-5.480000019073486
-5.58594749806369,-5.940000057220459
-4.638150627916786,-4.130000114440918
-6.710412175612466,-5.489999771118164
1.7856919984636446,0.5
-7.338001096672614,-9.859999656677246
-8.747151844464657,-9.399999618530273
-4.594520188462191,-2.930000066757202
2.3225961435957676,2.880000114440918
-3.444802331182773,-2.5299999713897705
-6.862013940650491,-6.199999809265137
-5.669144647321497,-4.090000152587891
1.14162082975419,1.659999966621399
0.2522186363005727,1.2799999713897705
-2.474713639364917,-2.640000104904175
-7.350249359837919,-6.71999979019165
-2.121713569964514,-1.690000057220459
-5.391590599640302,-6.340000152587891
-10.948155079888886,-9.609999656677246
-3.170707703476671,-2.2300000190734863
-2.7652938997860836,-3.130000114440918
-5.078727936097708,-5.659999847412109
-4.968289913402572,-4.71999979019165
-2.0492074470692283,-1.0099999904632568
-8.484832941022864,-6.880000114440918
-1.133515618054417,-1.3600000143051147
-10.012951248155154,-13.430000305175781
-13.311321372405143,-12.640000343322754
0.6563584045776727,1.8300000429153442
-7.31952382147506,-4.78000020980835
-3.5243859860782325,-4.380000114440918
-2.039472574791743,-1.7400000095367432
-5.449155191803726,-7.769999980926514
-3.0877463575266266,-3.180000066757202
-4.634851235782375,-5.53000020980835
-6.2134661246883285,-7.070000171661377
-9.180726920472807,-9.9399995803833
-8.123113039350727,-7.099999904632568
0.8313638390992522,0.05999999865889549
-2.807802166352286,-2.4000000953674316
